Ticker,Status,Rows,Message
APOL,NO_DATA,0,
ARMY,OK,1,
ASIA,NO_DATA,0,
ATPK,NO_DATA,0,
BACH,OK,35,
BORN,NO_DATA,0,
BRAU,NO_DATA,0,
BTEL,OK,1,
CBMF,OK,1,
CKRA,NO_DATA,0,
COWL,OK,1,
CPGT,NO_DATA,0,
CPRI,OK,1,
DAJK,NO_DATA,0,
DAVO,NO_DATA,0,
DGSA,NO_DATA,0,
DMAD,NO_DATA,0,
DUCK,OK,1,
EDJSA,NO_DATA,0,
EDJSB,NO_DATA,0,
EMMI,OK,35,
ENVY,OK,1,
FINN,NO_DATA,0,
FORZ,OK,69,
GAMA,OK,1,
GDWU,NO_DATA,0,
GMCW,NO_DATA,0,
GOLL,OK,1,
GREN,NO_DATA,0,
HDTX,OK,69,
HKMU,OK,1,
HOME,OK,1,
HOTL,OK,1,
IIKP,OK,1,
INVS,NO_DATA,0,
ITTG,NO_DATA,0,
JAKA,NO_DATA,0,
JASS,NO_DATA,0,
JECX,OK,36,
JELI,OK,36,
JKSW,OK,69,
JSKY,OK,1,
KARK,NO_DATA,0,
KBRI,OK,1,
KPAL,OK,69,
KPAS,OK,69,
KRAH,OK,69,
LCGP,OK,1,
LMAS,OK,1,
MABA,OK,1,
MAGP,OK,1,
MAMI,OK,69,
MAMIP,OK,1,
MANY,NO_DATA,0,
META,OK,20,
MTRA,OK,1,
MYRX,OK,69,
MYRXP,OK,1,
NIPS,OK,69,
NUSA,OK,1,
OCAP,OK,1,
PAFI,NO_DATA,0,
PLAS,OK,1,
POOL,OK,1,
POSA,OK,1,
PRAS,OK,69,
PRDL,OK,34,
PTRA,NO_DATA,0,
PURE,OK,1,
RANS,OK,33,
RIMO,OK,1,
RYAN,NO_DATA,0,
SCPI,OK,1,
SIAP,NO_DATA,0,
SIMA,OK,1,
SING,NO_DATA,0,
SKYB,OK,1,
SMRU,OK,1,
SQBB,NO_DATA,0,
SQBI,NO_DATA,0,
SRIL,OK,1,
SUDI,NO_DATA,0,
SUGI,OK,1,
TDPM,OK,1,
TECH,OK,1,
TMPI,NO_DATA,0,
TRAM,OK,1,
TRIL,OK,1,
TRIO,OK,1,
TRUB,NO_DATA,0,
UNIT,OK,1,
WBSA,OK,96,
WSKT,OK,1,
