Ticker,Universe100,Initial10
AADI,Yes,No
ABMM,Yes,No
ADES,Yes,No
ADMF,Yes,No
ADMR,Yes,No
ADRO,Yes,No
ALII,Yes,No
AMMN,Yes,No
AMRT,Yes,No
APIC,Yes,No
ARCI,Yes,No
ARKO,Yes,No
ARTO,Yes,No
ASII,No,Yes
BBHI,Yes,No
BBSI,Yes,No
BDMN,Yes,No
BFIN,Yes,No
BHAT,Yes,No
BINA,Yes,No
BIPI,Yes,No
BMAS,Yes,No
BNGA,Yes,No
BNLI,Yes,No
BOGA,Yes,No
BRIS,Yes,No
BRMS,Yes,No
BSIM,Yes,No
BTPN,Yes,No
BTPS,Yes,No
BUKA,Yes,No
BULL,Yes,No
BUMI,Yes,No
BUVA,Yes,No
BYAN,Yes,No
CMNP,Yes,No
CMNT,Yes,No
CTRA,Yes,No
CYBR,Yes,No
DEWA,Yes,No
DNET,Yes,No
DOSS,No,Yes
EDGE,Yes,No
ELPI,Yes,No
EMTK,Yes,No
ENRG,Yes,No
EPMT,Yes,No
ESSA,Yes,No
FASW,Yes,No
FWCT,No,Yes
GEMS,Yes,No
GOOD,Yes,No
GOTO,Yes,Yes
HEAL,Yes,No
HRTA,Yes,No
INCO,Yes,No
INDY,Yes,No
INPP,Yes,No
INTP,Yes,No
ISAT,Yes,No
JPFA,Yes,No
KLBF,Yes,No
KPIG,Yes,No
LIFE,Yes,No
MAIN,No,Yes
MAPI,Yes,No
MDIA,Yes,No
MDIY,Yes,No
MDKA,Yes,No
MDLA,No,Yes
MEDC,Yes,Yes
MEGA,Yes,No
MGLV,Yes,No
MIDI,Yes,No
MIKA,Yes,No
MLPT,Yes,No
MORA,Yes,No
NISP,Yes,No
NSSS,Yes,No
PACK,Yes,No
PLIN,Yes,No
POLU,Yes,No
POWR,Yes,No
PSAB,Yes,No
PTRO,Yes,No
PWON,Yes,No
RAJA,Yes,No
RANS,No,Yes
RATU,Yes,No
SCMA,Yes,No
SGRO,Yes,No
SINI,Yes,No
SMCB,Yes,No
SMMA,Yes,No
SOHO,Yes,No
SRAJ,Yes,No
SRTG,Yes,No
SSIA,Yes,No
STTP,Yes,No
TAPG,Yes,No
TBIG,Yes,No
TKIM,No,Yes
TLDN,Yes,Yes
TSPC,Yes,No
VKTR,Yes,No
WIFI,Yes,No
YUPI,Yes,No
