Ticker,Status,Rows,Message
AADI,OK,8,
AALI,OK,8,
ABBA,OK,9,
ABDA,OK,8,
ABMM,OK,8,
ACES,OK,8,
ACRO,OK,8,
ACST,OK,8,
ADCP,OK,9,
ADES,OK,8,
ADHI,OK,9,
ADMF,OK,8,
ADMG,OK,8,
ADMR,OK,8,
ADRO,OK,8,
AEGS,OK,8,
AGAR,OK,9,
AGII,OK,8,
AGRO,OK,8,
AGRS,OK,8,
AHAP,OK,8,
AIMS,OK,8,
AISA,OK,8,
AKKU,OK,9,
AKPI,OK,8,
AKRA,OK,8,
AKSI,OK,8,
ALDO,OK,8,
ALII,OK,8,
ALKA,OK,9,
ALMI,OK,9,
ALTO,OK,9,
AMAG,OK,8,
AMAN,OK,8,
AMAR,OK,8,
AMFG,OK,8,
AMIN,OK,8,
AMMN,OK,8,
AMMS,OK,8,
AMOR,OK,8,
AMRT,OK,8,
ANDI,OK,8,
ANJT,OK,8,
ANTM,OK,8,
APEX,OK,8,
APIC,OK,8,
APII,OK,8,
APLI,OK,8,
APLN,OK,8,
APOL,NO_DATA,0,
ARCI,OK,8,
AREA,OK,8,
ARGO,OK,8,
ARII,OK,8,
ARKA,OK,9,
ARKO,OK,8,
ARMY,NO_DATA,0,
ARNA,OK,8,
ARTA,OK,8,
ARTI,OK,9,
ARTO,OK,8,
ASBI,OK,8,
ASDM,OK,8,
ASGR,OK,8,
ASHA,OK,8,
ASIA,NO_DATA,0,
ASII,OK,8,
ASJT,OK,8,
ASLC,OK,8,
ASLI,OK,8,
ASMI,OK,8,
ASPI,OK,8,
ASPR,OK,8,
ASRI,OK,8,
ASRM,OK,8,
ASSA,OK,8,
ATAP,OK,8,
ATIC,OK,8,
ATLA,OK,8,
ATPK,NO_DATA,0,
AUTO,OK,8,
AVIA,OK,8,
AWAN,OK,8,
AXIO,OK,8,
AYAM,OK,8,
AYLS,OK,8,
BABP,OK,8,
BABY,OK,8,
BACA,OK,8,
BACH,OK,8,
BAIK,OK,10,
BAJA,OK,9,
BALI,OK,8,
BANK,OK,8,
BAPA,OK,8,
BAPI,OK,8,
BATA,OK,9,
BATR,OK,8,
